"course","title"
"http://is-concordia.io/MECH215","Programming for Mechanical and Industrial Engineers"
"http://is-concordia.io/PHIL265","Introduction to Metaphysics"
"http://is-concordia.io/COMP6461","Computer Networks and Protocols"
"http://is-concordia.io/IMCA222","Electronics for Artists"
"http://is-concordia.io/ELEC275","Principles of Electrical Engineering"
"http://is-concordia.io/MARK485","Business to Business Marketing"
"http://is-concordia.io/SOEN487","Web Services and Applications"
"http://is-concordia.io/JOUR505","Advanced Reporting"
"http://is-concordia.io/CIVI6441","Traffic Engineering"
"http://is-concordia.io/ACCO659","Capstone II Examination Preparation"
"http://is-concordia.io/IMCA310","Intermediate Video Production"
"http://is-concordia.io/COMP6761","Advanced Computer Graphics"
"http://is-concordia.io/AHSC436","Internship in Youth and Family Work"
"http://is-concordia.io/ELEC472","Advanced Telecommunication Network"
"http://is-concordia.io/BIOL801","Pedagogical Training"
"http://is-concordia.io/COMP6321","Machine Learning"
"http://is-concordia.io/MECH6531","Casting"
"http://is-concordia.io/CERA398","Special Topics in Ceramics"
"http://is-concordia.io/FLIT454","Histoire du livre et de l’édition"
"http://is-concordia.io/THEO692","Applied Project in Theology"
"http://is-concordia.io/INSE6180","Security and Privacy Implications of Data Mining"
"http://is-concordia.io/PTNG200","Painting I"
"http://is-concordia.io/HIST890","Thesis Research"
"http://is-concordia.io/MECH361","Fluid Mechanics II"
"http://is-concordia.io/ETEC613","Learning Theories"
"http://is-concordia.io/IMCA482","Professional Internship in Intermedia II"
"http://is-concordia.io/ENCS282","Technical Communication"
"http://is-concordia.io/BIOL322","Biostatistics"
"http://is-concordia.io/EAST481","Supervised Internship I"
"http://is-concordia.io/HIST329","Music in History"
"http://is-concordia.io/FTRA698","Étude d’un sujet particulier / Special Topics"
"http://is-concordia.io/COEN7741","Advanced Computer Architecture"
"http://is-concordia.io/BIOL622","Advanced Techniques in Ecology"
"http://is-concordia.io/CIVI6661","Environmental Impact Assessment"
"http://is-concordia.io/ELEC483","Real-Time Computer Control Systems"
"http://is-concordia.io/ENGL415","Literary Production: Curating and Archiving the Literary Event"
"http://is-concordia.io/DRAW470","Independent Study"
"http://is-concordia.io/DFTT345","Elements of Multimedia Realization"
"http://is-concordia.io/JOUR321","Visual Journalism"
"http://is-concordia.io/PSYC708","APC Practicum II: General"
