"course","lecture","content"
"http://is-concordia.io/COMP6231","http://is-concordia.io/COMP6231_Lecture#3","http://is-concordia.io//Users/nilesh/Work/COMP-474-IS/Roboprof/data/COMP6231/Slide/slide3.pdf"
"http://is-concordia.io/COMP6231","http://is-concordia.io/COMP6231_Lecture#3","http://is-concordia.io//Users/nilesh/Work/COMP-474-IS/Roboprof/data/COMP6231/Worksheet/worksheet3.pdf"
